Date, Open, High, Low, Close, Volume, Open Interest
2021-05-17, o-99.72, h-99.72, l-99.72, c-99.72, v-100, oi-0.0
2021-05-17, o-99.74, h-99.74, l-99.74, c-99.74, v-120, oi-0.0
2021-05-17, o-99.8, h-99.81, l-99.8, c-99.8, v-559, oi-0.0
2021-05-17, o-99.82, h-99.82, l-99.82, c-99.82, v-112, oi-0.0
2021-05-17, o-99.85, h-99.85, l-99.85, c-99.85, v-150, oi-0.0
2021-05-17, o-99.905, h-99.905, l-99.905, c-99.905, v-399, oi-0.0
2021-05-17, o-99.85, h-99.85, l-99.85, c-99.85, v-284, oi-0.0
2021-05-17, o-99.94, h-99.94, l-99.91, c-99.91, v-600, oi-0.0
2021-05-17, o-99.875, h-99.875, l-99.875, c-99.875, v-101, oi-0.0
2021-05-17, o-99.81, h-99.81, l-99.81, c-99.81, v-145, oi-0.0
2021-05-17, o-99.8, h-99.805, l-99.795, c-99.795, v-475, oi-0.0
2021-05-17, o-99.855, h-99.865, l-99.855, c-99.865, v-414, oi-0.0
2021-05-17, o-99.905, h-99.905, l-99.865, c-99.865, v-1067, oi-0.0
2021-05-17, o-99.84, h-99.86, l-99.82, c-99.82, v-801, oi-0.0
2021-05-18, o-99.8, h-99.83, l-99.8, c-99.83, v-263, oi-0.0
2021-05-18, o-99.95, h-99.97, l-99.91, c-99.91, v-352, oi-0.0
2021-05-18, o-99.8, h-99.8, l-99.8, c-99.8, v-178, oi-0.0
2021-05-18, o-99.83, h-99.83, l-99.83, c-99.83, v-140, oi-0.0
2021-05-18, o-99.69, h-99.73, l-99.69, c-99.73, v-200, oi-0.0
2021-05-18, o-99.92, h-99.93, l-99.92, c-99.93, v-301, oi-0.0
2021-05-18, o-99.66, h-99.66, l-99.66, c-99.66, v-167, oi-0.0
2021-05-18, o-99.76, h-99.76, l-99.76, c-99.76, v-102, oi-0.0
2021-05-18, o-99.8, h-99.8, l-99.8, c-99.8, v-100, oi-0.0
2021-05-18, o-99.72, h-99.73, l-99.72, c-99.73, v-307, oi-0.0
2021-05-18, o-99.74, h-99.75, l-99.74, c-99.75, v-300, oi-0.0
2021-05-18, o-99.77, h-99.77, l-99.76, c-99.76, v-202, oi-0.0
2021-05-18, o-99.63, h-99.63, l-99.63, c-99.63, v-102, oi-0.0
2021-05-18, o-99.69, h-99.69, l-99.69, c-99.69, v-115, oi-0.0
2021-05-18, o-99.5, h-99.5, l-99.5, c-99.5, v-102, oi-0.0
2021-05-18, o-99.59, h-99.59, l-99.59, c-99.59, v-102, oi-0.0
2021-05-18, o-99.51, h-99.51, l-99.51, c-99.51, v-103, oi-0.0
2021-05-18, o-99.47, h-99.47, l-99.47, c-99.47, v-100, oi-0.0
2021-05-18, o-99.33, h-99.33, l-99.33, c-99.33, v-304, oi-0.0
2021-05-18, o-99.46, h-99.46, l-99.46, c-99.46, v-302, oi-0.0
2021-05-18, o-99.55, h-99.55, l-99.55, c-99.55, v-100, oi-0.0
2021-05-18, o-99.47, h-99.47, l-99.47, c-99.47, v-101, oi-0.0
2021-05-18, o-99.62, h-99.62, l-99.62, c-99.62, v-295, oi-0.0
2021-05-18, o-99.6, h-99.6, l-99.6, c-99.6, v-103, oi-0.0
2021-05-18, o-99.5, h-99.5, l-99.5, c-99.5, v-101, oi-0.0
2021-05-18, o-99.5, h-99.5, l-99.5, c-99.5, v-102, oi-0.0
2021-05-18, o-99.615, h-99.615, l-99.615, c-99.615, v-200, oi-0.0
2021-05-18, o-99.6, h-99.6, l-99.6, c-99.6, v-105, oi-0.0
2021-05-18, o-99.59, h-99.59, l-99.58, c-99.58, v-400, oi-0.0
2021-05-18, o-99.59, h-99.59, l-99.59, c-99.59, v-301, oi-0.0
2021-05-18, o-99.62, h-99.63, l-99.62, c-99.63, v-301, oi-0.0
2021-05-18, o-99.625, h-99.625, l-99.625, c-99.625, v-100, oi-0.0
2021-05-18, o-99.65, h-99.65, l-99.65, c-99.65, v-211, oi-0.0
2021-05-18, o-99.665, h-99.665, l-99.665, c-99.665, v-120, oi-0.0
2021-05-18, o-99.74, h-99.74, l-99.74, c-99.74, v-105, oi-0.0
2021-05-18, o-99.76, h-99.76, l-99.76, c-99.76, v-111, oi-0.0
2021-05-18, o-99.65, h-99.65, l-99.65, c-99.65, v-214, oi-0.0
2021-05-18, o-99.72, h-99.72, l-99.72, c-99.72, v-101, oi-0.0
2021-05-18, o-99.68, h-99.68, l-99.68, c-99.68, v-304, oi-0.0
2021-05-18, o-99.47, h-99.47, l-99.47, c-99.47, v-101, oi-0.0
2021-05-18, o-99.54, h-99.55, l-99.54, c-99.55, v-200, oi-0.0
2021-05-18, o-99.52, h-99.52, l-99.52, c-99.52, v-177, oi-0.0
2021-05-18, o-99.53, h-99.53, l-99.52, c-99.52, v-202, oi-0.0
2021-05-18, o-99.54, h-99.54, l-99.54, c-99.54, v-100, oi-0.0
2021-05-18, o-99.5, h-99.5, l-99.5, c-99.5, v-115, oi-0.0
2021-05-18, o-99.53, h-99.53, l-99.52, c-99.52, v-401, oi-0.0
2021-05-18, o-99.47, h-99.495, l-99.47, c-99.495, v-400, oi-0.0
2021-05-18, o-99.52, h-99.52, l-99.52, c-99.52, v-200, oi-0.0
2021-05-18, o-99.545, h-99.545, l-99.53, c-99.53, v-201, oi-0.0
2021-05-18, o-99.5, h-99.51, l-99.5, c-99.51, v-200, oi-0.0
2021-05-18, o-99.515, h-99.515, l-99.515, c-99.515, v-101, oi-0.0
2021-05-18, o-99.54, h-99.54, l-99.54, c-99.54, v-100, oi-0.0
2021-05-18, o-99.53, h-99.53, l-99.53, c-99.53, v-101, oi-0.0
2021-05-18, o-99.545, h-99.545, l-99.545, c-99.545, v-100, oi-0.0
2021-05-18, o-99.61, h-99.61, l-99.61, c-99.61, v-203, oi-0.0
2021-05-18, o-99.59, h-99.59, l-99.59, c-99.59, v-101, oi-0.0
2021-05-18, o-99.62, h-99.62, l-99.62, c-99.62, v-103, oi-0.0
2021-05-18, o-99.65, h-99.65, l-99.65, c-99.65, v-100, oi-0.0
2021-05-18, o-99.67, h-99.7, l-99.67, c-99.7, v-400, oi-0.0
