Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-25 09:09:00, $114.06, BUY, $99,885.94, $114.06, $0.00, $0.00
2021-05-25 09:10:00, $114.10, HOLD, $99,885.94, $114.06, $0.00, $0.00
2021-05-25 09:11:00, $114.05, SELL, $99,999.99, $0.00, $-0.01, $-0.01
2021-05-25 09:12:00, $114.06, BUY, $99,885.93, $114.06, $0.00, $-0.01
2021-05-25 09:13:00, $114.02, SELL, $99,999.95, $0.00, $-0.04, $-0.05
2021-05-25 09:14:00, $113.97, HOLD, $99,999.95, $0.00, $0.00, $-0.05
2021-05-25 09:15:00, $113.90, SELL, $99,999.95, $0.00, $0.00, $-0.05
2021-05-25 09:16:00, $113.80, HOLD, $99,999.95, $0.00, $0.00, $-0.05
2021-05-25 09:18:00, $113.77, SELL, $99,999.95, $0.00, $0.00, $-0.05
2021-05-25 09:19:00, $113.72, HOLD, $99,999.95, $0.00, $0.00, $-0.05
2021-05-25 09:20:00, $113.69, SELL, $99,999.95, $0.00, $0.00, $-0.05
2021-05-25 09:21:00, $113.58, HOLD, $99,999.95, $0.00, $0.00, $-0.05
2021-05-25 09:22:00, $113.52, SELL, $99,999.95, $0.00, $0.00, $-0.05
2021-05-25 09:23:00, $113.48, HOLD, $99,999.95, $0.00, $0.00, $-0.05
2021-05-25 09:24:00, $113.48, BUY, $99,886.46, $113.48, $0.00, $-0.05
2021-05-25 09:25:00, $113.42, SELL, $99,999.88, $0.00, $-0.06, $-0.12
2021-05-25 09:26:00, $113.35, HOLD, $99,999.88, $0.00, $0.00, $-0.12
2021-05-25 09:27:00, $113.27, SELL, $99,999.88, $0.00, $0.00, $-0.12
2021-05-25 09:28:00, $113.25, HOLD, $99,999.88, $0.00, $0.00, $-0.12
2021-05-25 09:29:00, $113.19, SELL, $99,999.88, $0.00, $0.00, $-0.12
2021-05-25 09:30:00, $113.09, HOLD, $99,999.88, $0.00, $0.00, $-0.12
2021-05-25 09:31:00, $112.95, SELL, $99,999.88, $0.00, $0.00, $-0.12
2021-05-25 09:32:00, $112.84, HOLD, $99,999.88, $0.00, $0.00, $-0.12
2021-05-25 09:33:00, $112.86, BUY, $99,887.03, $112.86, $0.00, $-0.12
2021-05-25 09:34:00, $112.93, HOLD, $99,887.03, $112.86, $0.00, $-0.12
2021-05-25 09:35:00, $113.03, BUY, $99,773.99, $225.89, $0.00, $-0.12
2021-05-25 09:36:00, $113.12, HOLD, $99,773.99, $225.89, $0.00, $-0.12
2021-05-25 09:37:00, $113.16, BUY, $99,660.83, $339.05, $0.00, $-0.12
2021-05-25 09:38:00, $113.16, HOLD, $99,660.83, $339.05, $0.00, $-0.12
2021-05-25 09:39:00, $113.12, SELL, $100,000.20, $0.00, $-0.04, $0.20
2021-05-25 09:40:00, $113.07, HOLD, $100,000.20, $0.00, $0.00, $0.20
2021-05-25 09:41:00, $113.04, SELL, $100,000.20, $0.00, $0.00, $0.20
2021-05-25 09:42:00, $113.04, HOLD, $100,000.20, $0.00, $0.00, $0.20
2021-05-25 09:43:00, $113.07, BUY, $99,887.13, $113.07, $0.00, $0.20
2021-05-25 09:44:00, $113.16, HOLD, $99,887.13, $113.07, $0.00, $0.20
2021-05-25 09:45:00, $113.22, BUY, $99,773.90, $226.30, $0.00, $0.20
2021-05-25 09:46:00, $113.33, HOLD, $99,773.90, $226.30, $0.00, $0.20
2021-05-25 09:47:00, $113.35, BUY, $99,660.55, $339.64, $0.00, $0.20
2021-05-25 09:48:00, $113.40, HOLD, $99,660.55, $339.64, $0.00, $0.20
2021-05-25 09:49:00, $113.40, BUY, $99,547.15, $453.05, $0.00, $0.20
2021-05-25 09:50:00, $113.42, HOLD, $99,547.15, $453.05, $0.00, $0.20
2021-05-25 09:51:00, $113.42, SELL, $100,000.82, $0.00, $0.02, $0.82
2021-05-25 09:52:00, $113.53, BUY, $99,887.30, $113.53, $0.00, $0.82
2021-05-25 09:53:00, $113.66, HOLD, $99,887.30, $113.53, $0.00, $0.82
2021-05-25 09:58:00, $113.78, BUY, $99,773.52, $227.31, $0.00, $0.82
2021-05-25 09:59:00, $113.77, SELL, $100,001.06, $0.00, $-0.01, $1.06
2021-05-25 10:00:00, $113.69, HOLD, $100,001.06, $0.00, $0.00, $1.06
2021-05-25 10:01:00, $113.61, SELL, $100,001.06, $0.00, $0.00, $1.06
2021-05-25 10:03:00, $113.55, HOLD, $100,001.06, $0.00, $0.00, $1.06
2021-05-25 10:04:00, $113.52, SELL, $100,001.06, $0.00, $0.00, $1.06
2021-05-25 10:05:00, $113.50, HOLD, $100,001.06, $0.00, $0.00, $1.06
2021-05-25 10:08:00, $113.47, SELL, $100,001.06, $0.00, $0.00, $1.06
2021-05-25 10:09:00, $113.46, HOLD, $100,001.06, $0.00, $0.00, $1.06
2021-05-25 10:10:00, $113.46, SELL, $100,001.06, $0.00, $0.00, $1.06
2021-05-25 10:12:00, $113.46, BUY, $99,887.60, $113.46, $0.00, $1.06
2021-05-25 10:13:00, $113.44, SELL, $100,001.04, $0.00, $-0.03, $1.04
2021-05-25 10:14:00, $113.38, HOLD, $100,001.04, $0.00, $0.00, $1.04
2021-05-25 10:15:00, $113.33, SELL, $100,001.04, $0.00, $0.00, $1.04
2021-05-25 10:16:00, $113.30, HOLD, $100,001.04, $0.00, $0.00, $1.04
2021-05-25 10:17:00, $113.31, BUY, $99,887.72, $113.31, $0.00, $1.04
2021-05-25 10:18:00, $113.34, HOLD, $99,887.72, $113.31, $0.00, $1.04
2021-05-25 10:19:00, $113.35, BUY, $99,774.37, $226.67, $0.00, $1.04
2021-05-25 10:21:00, $113.33, SELL, $100,001.04, $0.00, $-0.02, $1.04
2021-05-25 10:23:00, $113.35, BUY, $99,887.69, $113.35, $0.00, $1.04
2021-05-25 10:24:00, $113.36, HOLD, $99,887.69, $113.35, $0.00, $1.04
2021-05-25 10:25:00, $113.39, BUY, $99,774.30, $226.74, $0.00, $1.04
